
"User reader1 logged in.","2023-05-27T11:08:38.808493800"
"User reader1 logged in.","2023-05-27T11:16:20.536053300"
"Reader reader1 accessed the list of all books.","2023-05-27T11:16:37.917174500"
"Reader reader1 accessed the list of authors.","2023-05-27T11:17:16.176694"
"Reader reader1 logged out.","2023-05-27T11:17:18.118058900"
"User reader1 logged out.","2023-05-27T11:17:18.157941400"
"User reader1 logged in.","2023-05-27T12:16:02.223633"
"Reader reader1 accessed the list of librarians.","2023-05-27T12:16:08.717328"
"User reader1 logged in.","2023-05-27T12:34:20.856593800"
"Reader reader1 accessed the list of all books.","2023-05-27T12:34:54.591531100"
"Reader reader1 logged out.","2023-05-27T12:35:48.539335300"
"User reader1 logged out.","2023-05-27T12:35:48.592473200"
